input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
74568.767,10.252658,4.437336,3.93937,-15.244292,0.395103,-31.035323,-2.404358,-53.875867,12.134867,171132.39,245.13249,212.23882,41.520992,161.22274,194.78794,148.20284,25.677634,249.97473,872.85452,1,1,74497.366,74448.731,74497.366,74497.366,763960.32,3926854000000.000000,18114630.000000,-1343367500,-3221251700,-8050859600,-1.07593E+17,-8.29531E+67,-66.527949,5560500900.000000,74544.655,-71.378262,-71.397188
153625.26,13.95068,-2.41225,1.549109,-29.850524,-1.759564,-4.726285,-1.500084,-68.943703,-6.386991,228939.94,6.69894,405.74312,-74.593508,269.51033,33.948736,-1.504468,114.99371,738.18672,-16.332042,1,1,153525.18,153513.47,153525.18,153525.18,2143673.1,-1.31324E+12,-9893659.5,-5195608300,-992582350,-13793670,110469400000000.000000,109491590000000010968694435029653976158348959475255949189251908999390707082108272407749688565956608.000000,-94.89315,23600719000.000000,153562.34,-99.985201,-100.0506
326436.07,7.173854,-1.771764,-5.496972,11.386793,-0.079941,-32.714371,-10.251267,-60.498419,-15.224566,232709.75,346.74812,678.65287,-68.930201,288.40354,540.98212,-50.661042,165.21849,777.18676,149.16563,1,1,326328.6,326376.36,326328.6,326328.6,2343070,-6.41296E+12,-26492146,15311829000.000000,-1.9113E+11,53380946000.000000,1217492400000000000.000000,3900076600000000007352216503540768571392.000000,-101.96286,106560510000.000000,326350.35,-107.05038,-107.19834
197135.29,12.531025,2.72829,-2.190774,-30.568595,-0.297434,48.095008,-6.703725,-60.601679,-6.220608,250331.86,191.71457,445.96232,127.55309,92.993321,355.70865,28.233637,119.77976,400.93975,747.63095,1,1,197092.07,197097.83,197092.07,197092.07,2470365,16316960000000.000000,140731370.000000,6766261700.000000,-22073938000,-15091169000,222824040000000000.000000,51131637000000003569153990207024016812214202563348448613918886794401542014581646295040.000000,-37.933728,38862324000.000000,197075.98,-43.07303,-43.167195
344531.36,7.362008,-3.880768,4.925564,-22.765755,0.19211,26.308104,-5.995751,48.283622,10.670912,249320.95,397.44483,184.01493,-49.956051,50.965508,616.70162,170.84657,351.73227,303.8968,222.61278,1,1,344596.46,344562.15,344596.46,344596.46,2536776.6,-1.72332E+13,-86750168,18458139000.000000,94896137000.000000,39611651000.000000,-1.92053E+18,-2.82242E+45,70.637275,118701860000.000000,344594.79,65.574894,65.42726
117112.95,17.679611,0.033154,3.716382,27.503622,3.430689,-40.363908,-6.478622,61.992722,-10.864249,178133.1,263.87643,173.22021,139.78687,210.01973,37.53992,35.313303,232.66594,491.55708,23.364846,1,1,117169.6,117154.63,117169.6,117169.6,2070193.9,-4.23956E+12,-16842.519,101460300.000000,341124520.000000,660395590.000000,168475720000000.000000,2740585200000000181010364993705708131564557852217731315744076527991260814564063373462611169800200157231462287921010237717082384221423567518330444054528.000000,61.718006,13715443000.000000,117177.88,56.704267,56.662253
148425.88,25.700598,-3.549092,-1.455431,-32.915561,-5.481795,40.45426,-11.234265,45.957305,-10.509865,368304.84,513.25428,28.495444,-15.952818,182.83995,296.61808,-32.097444,337.85706,695.90907,33.375901,1,1,148472.85,148478.81,148472.85,148472.85,3813882,780452590000000.000000,1331519.5,-28873600000,-27964563000,68725152000.000000,1354183700000000000.000000,3487076999999999991130318774567230797439982750232752914550237397506646375854243323030825855190530638958987177230214842704972787999012207465685669318154033931477918445402200847347622421480191109357719614958114857770412041147925016475647253490435512673440581469086284345794914847365023768832035703848853045248.000000,52.137663,22030243000.000000,148469.56,47.054282,46.992316
269562.42,-0.305956,-0.893012,-2.843251,-13.419108,-1.800684,13.400999,-1.45994,55.997761,-14.838222,332588.54,360.11995,57.064386,113.58361,222.54654,172.54824,78.155412,448.36255,72.554012,861.70526,1,1,269596.26,269638.75,269596.26,269596.26,-83297.951,-82257673000,-71436466,-138034930,-32303653,-29269929,6129318600000.000000,200157140000000.000000,39.269246,72663897000.000000,269597.77,34.129267,33.995307
87790.951,5.639881,-0.563632,-2.613502,25.928462,4.182818,25.346978,-3.348968,50.031177,-19.583181,302166.2,193.19182,446.12581,125.32839,-3.70438,584.7844,122.6076,325.74707,342.03663,139.64005,1,1,87875.971,87907.417,87875.971,87875.971,494175.8,6578777800000.000000,402377.18,-313678370,-183608680,-843884770,-6.15491E+14,-5.45517E+27,89.963483,7707251200.000000,87821.699,85.050865,85.025447
436004.08,11.702895,6.288402,-3.990153,5.453974,3.680662,8.909572,4.349233,48.85173,-11.99813,345117.84,352.99989,346.23762,547.15154,306.71938,616.78044,-4.493553,504.37496,369.54153,-68.327806,1,1,436077.32,436069.84,436077.32,436077.32,5101957.4,58373510000000.000000,725680.61,60872527000.000000,101765300000.000000,-1.79729E+11,23010855000000000000.000000,191426200000000008597778824874867689674176220987990898942073478787606037471844395243383291904.000000,78.887675,190099550000.000000,436056.81,74.008647,73.911342
