,true_output1,true_output2,pred_output1,pred_output2
7635,99482.921,99496.052,101609.11073062735,101593.25798154983
7636,412250.05,412235.89,424338.6673650791,424324.22552380926
7637,155366.62,155303.76,156847.65178260874,156836.5041304347
7638,193892.77,193909.72,185616.72356725138,185603.2415984406
7639,119190.1,119211.37,130154.50997333344,130144.92600000014
7640,199647.13,199656.92,185616.72356725138,185603.2415984406
7641,321833.48,321807.87,307448.0030952381,307425.7603296702
7642,282925.82,282988.88,274669.525366379,274663.15323275834
7643,311896.16,311876.2,307448.0030952381,307425.7603296702
7644,479647.06,479571.98,485093.7721111117,485078.81402222347
7645,246356.12,246303.72,247739.99689223093,247728.81476190523
7646,462333.2,462316.54,455285.4115738498,455270.39508474537
7647,308527.13,308509.64,307448.0030952381,307425.7603296702
7648,170742.21,170777.79,156847.65178260874,156836.5041304347
7649,342676.48,342648.98,339634.8082961464,339626.06835699774
7650,399429.7,399399.98,397781.09172413754,397780.57758620655
7651,425972.11,425939.42,424338.6673650791,424324.22552380926
7652,102173.59,102169.17,101609.11073062735,101593.25798154983
7653,91546.378,91555.604,101609.11073062735,101593.25798154983
7654,107102.44,107029.81,101609.11073062735,101593.25798154983
7655,356421.27,356396.41,369165.9787337051,369158.3872067035
7656,483821.31,483765.99,485093.7721111117,485078.81402222347
7657,348738.73,348724.56,339634.8082961464,339626.06835699774
7658,268509.54,268499.11,274669.525366379,274663.15323275834
7659,456507.96,456460.24,455285.4115738498,455270.39508474537
7660,66325.116,66309.373,69504.72317269086,69485.06758232943
7661,101862.72,101816.27,101609.11073062735,101593.25798154983
7662,159340.91,159285.85,156847.65178260874,156836.5041304347
7663,110171.39,110169.14,101609.11073062735,101593.25798154983
7664,58236.265,58216.824,69504.72317269086,69485.06758232943
7665,198871.37,198811.38,185616.72356725138,185603.2415984406
7666,95074.098,95009.862,101609.11073062735,101593.25798154983
7667,402987.08,402994.65,397781.09172413754,397780.57758620655
7668,343102.81,343142.59,339634.8082961464,339626.06835699774
7669,448232.36,448174.55,455285.4115738498,455270.39508474537
7670,338134.91,338086.63,339634.8082961464,339626.06835699774
7671,221038.95,221051.78,217929.90592885367,217921.5533399206
7672,108829.69,108805.96,101609.11073062735,101593.25798154983
7673,490521.94,490531.43,485093.7721111117,485078.81402222347
7674,376959.98,376954.47,369165.9787337051,369158.3872067035
7675,203449.65,203428.97,217929.90592885367,217921.5533399206
7676,188185.16,188131.2,185616.72356725138,185603.2415984406
7677,210429.05,210468.65,217929.90592885367,217921.5533399206
7678,319914.88,319895.03,307448.0030952381,307425.7603296702
7679,228596.17,228564.74,217929.90592885367,217921.5533399206
7680,45761.303,45732.214,42709.52807038839,42681.28406310685
7681,196556.65,196555.73,185616.72356725138,185603.2415984406
7682,96728.064,96706.39,101609.11073062735,101593.25798154983
7683,429520.14,429541.49,424338.6673650791,424324.22552380926
7684,259093.82,259080.17,247739.99689223093,247728.81476190523
7685,151398.04,151347.6,156847.65178260874,156836.5041304347
7686,499528.23,499510.46,485093.7721111117,485078.81402222347
7687,90656.296,90621.507,101609.11073062735,101593.25798154983
7688,85631.41,85638.596,101609.11073062735,101593.25798154983
7689,235627.67,235664.87,247739.99689223093,247728.81476190523
7690,38730.352,38721.267,42709.52807038839,42681.28406310685
7691,462807.8,462804.6,455285.4115738498,455270.39508474537
